/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [25800/100000] 2808s, 9.2 poly/s, ETA 8076s, 11581 pass / 14219 skip
  [25900/100000] 2819s, 9.2 poly/s, ETA 8064s, 11615 pass / 14285 skip
  [26000/100000] 2828s, 9.2 poly/s, ETA 8050s, 11665 pass / 14335 skip
  [26100/100000] 2836s, 9.2 poly/s, ETA 8031s, 11715 pass / 14385 skip
  [26200/100000] 2846s, 9.2 poly/s, ETA 8017s, 11749 pass / 14451 skip
  [26300/100000] 2856s, 9.2 poly/s, ETA 8003s, 11788 pass / 14512 skip
  [26400/100000] 2867s, 9.2 poly/s, ETA 7992s, 11808 pass / 14592 skip
  [26500/100000] 2878s, 9.2 poly/s, ETA 7982s, 11824 pass / 14676 skip
  [26600/100000] 2888s, 9.2 poly/s, ETA 7969s, 11851 pass / 14749 skip
  [26700/100000] 2897s, 9.2 poly/s, ETA 7954s, 11886 pass / 14814 skip
  [26800/100000] 2907s, 9.2 poly/s, ETA 7939s, 11928 pass / 14872 skip
  [26900/100000] 2916s, 9.2 poly/s, ETA 7924s, 11981 pass / 14919 skip
  [27000/100000] 2926s, 9.2 poly/s, ETA 7911s, 12017 pass / 14983 skip
  [27100/100000] 2934s, 9.2 poly/s, ETA 7894s, 12053 pass / 15047 skip
  [27200/100000] 2943s, 9.2 poly/s, ETA 7877s, 12097 pass / 15103 skip
  [27300/100000] 2953s, 9.2 poly/s, ETA 7863s, 12142 pass / 15158 skip
  [27400/100000] 2962s, 9.3 poly/s, ETA 7847s, 12172 pass / 15228 skip
  [27500/100000] 2972s, 9.3 poly/s, ETA 7834s, 12199 pass / 15301 skip
  [27600/100000] 2983s, 9.3 poly/s, ETA 7826s, 12230 pass / 15370 skip
